#{"t_start": 1622408907.0329092, "env_id": "CartPole-v1"}
r,l,t
14.0,14,0.14447
20.0,20,0.236391
49.0,49,0.329017
44.0,44,0.414621
9.0,9,0.474692
31.0,31,0.554268
12.0,12,0.563437
14.0,14,0.632366
95.0,95,0.811624
34.0,34,0.946091
43.0,43,1.02863
63.0,63,1.176924
122.0,122,1.473191
114.0,114,1.715836
165.0,165,2.097829
372.0,372,3.004716
132.0,132,3.610004
318.0,318,4.383797
500.0,500,5.61238
500.0,500,7.701288
412.0,412,8.678814
391.0,391,9.590015
500.0,500,11.721141
500.0,500,12.941673
500.0,500,14.089651
500.0,500,16.235465
500.0,500,17.439652
500.0,500,19.4873
500.0,500,20.645777
500.0,500,21.7862
500.0,500,23.921803
500.0,500,25.096425
500.0,500,27.154436
500.0,500,28.37565
500.0,500,29.563616
500.0,500,31.651272
500.0,500,32.867261
500.0,500,34.946682
500.0,500,36.154942
500.0,500,37.355944
